template_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
832ad5d0,0.13639654,-0.10906089,0.03891999,0.0047921226,-0.16610073,-0.6440154,-0.3849868,-0.70823675,-0.39762184,0.22602826,-0.5437061,-0.0036898523,0.2401875,-0.26217085,-0.28798744,-0.5799259,-0.12935497,-0.013477954,-0.44522852,0.14789881,-0.653558,0.2656846,0.6007049,-0.18445972,0.56382596,0.06840694,-0.15581365,-0.28686342,0.47801825,0.06317546,0.022282647,-0.17780332
9ebf1c9b,0.026916653,0.018999511,0.009108193,-0.14068162,-0.3363621,-0.030736782,-0.27395567,-0.18914868,-0.29614595,0.02938218,-0.37029064,0.02531622,0.054078534,0.15313059,0.013465259,-0.21583572,-0.3171536,-0.13392597,-0.07606347,-0.16323242,-0.58002424,-0.018017653,0.09980279,0.0705684,-0.085892275,-0.44629374,-0.5310749,0.18484871,0.05847084,0.23345399,0.05919596,0.21761954
33a7fe87,0.4699668,0.014603618,-0.023690345,-0.86983764,0.291186,-0.62045175,-0.3272332,-0.13424385,-0.28237724,-0.16672646,-0.74514145,0.17937437,0.6568898,-0.40933573,0.26492992,-0.434629,-0.17597923,-0.12713845,0.21480212,-0.05768564,-0.32347885,-0.04871722,0.3491725,-0.11279163,0.2171183,-0.09190087,-0.24803813,0.017227408,0.45417148,0.2577649,-0.10590421,-0.24674693
0cb83fc1,0.102080785,-0.218359,0.13723035,-0.05305708,-0.18609156,-0.419414,-0.38640296,-0.5525089,-0.512068,0.22227065,-0.44051087,0.046644136,0.15583311,-0.26751024,-0.24052459,-0.5316653,-0.083961725,-0.033201106,-0.41443804,0.15146501,-0.51424235,0.24577855,0.47271657,-0.17634207,0.4549211,-0.091325946,-0.18857646,-0.29074615,0.3838198,0.040114272,-0.01722498,-0.06390617
b470c3d0,0.3779234,-0.2888539,-0.084432855,-0.16152565,-0.26985613,0.3216065,-0.14312859,-0.06775649,-0.111500315,0.23009051,0.06628003,0.07959067,0.0037026785,-0.2063079,0.18405761,-0.5612727,-0.17736568,0.17612912,0.12511243,0.015057179,0.23460819,0.041195486,0.38738796,0.011767008,0.027166825,0.045779012,-0.1850708,0.19171332,0.040884227,0.3462056,0.2283377,0.2422062
43b5caf2,0.06065985,-0.21628076,0.1462911,-0.026424766,-0.19645713,-0.44021124,-0.39691204,-0.56381017,-0.5000338,0.23580837,-0.46435085,0.015054448,0.17381874,-0.28614002,-0.24038021,-0.54752916,-0.108170256,-0.03086316,-0.40854356,0.13421392,-0.52696997,0.28019056,0.4713198,-0.15667646,0.4467521,-0.11816682,-0.2175637,-0.28352284,0.38251537,0.019489976,-0.035838265,-0.064547725
a465a306,0.13639654,-0.10906089,0.03891999,0.0047921226,-0.16610073,-0.6440154,-0.3849868,-0.70823675,-0.39762184,0.22602826,-0.5437061,-0.0036898523,0.2401875,-0.26217085,-0.28798744,-0.5799259,-0.12935497,-0.013477954,-0.44522852,0.14789881,-0.653558,0.2656846,0.6007049,-0.18445972,0.56382596,0.06840694,-0.15581365,-0.28686342,0.47801825,0.06317546,0.022282647,-0.17780332
19afe0f3,0.09630493,-0.21709305,0.14728038,-0.07507155,-0.18512967,-0.4191518,-0.360648,-0.51541156,-0.49812832,0.21091634,-0.4475666,0.03650496,0.15966696,-0.24056217,-0.24460877,-0.5427693,-0.08237024,-0.06848044,-0.38576365,0.15742026,-0.49431926,0.23414397,0.4707105,-0.19650334,0.43142945,-0.10156653,-0.17828263,-0.29751512,0.3680692,0.06353511,-0.014030767,-0.053096667
80cebd15,-0.18548892,-0.2558336,0.2508121,-0.09442906,0.08284584,-0.41687167,-0.48537967,-0.1766904,-0.35788426,0.28699407,-0.45669812,-0.13868679,0.25726965,-0.105991095,-0.08452749,-0.76388973,0.11189716,-0.09483952,-0.29654133,-0.041654408,-0.46640763,0.258621,0.21923488,0.034577005,0.22287169,0.18206441,0.101092026,-0.30833206,0.27230117,0.0036325294,0.09733594,-0.24259946
f4773be4,0.44323468,-0.27337286,-0.17267461,-0.085646056,-0.38014805,0.34338906,-0.20292775,-0.086865254,-0.18671843,0.31130984,0.048910722,0.10013747,0.0861003,-0.13544075,0.1262296,-0.5277612,-0.17567894,0.26223743,0.26508966,0.13851674,0.25669032,0.15543248,0.42562595,-0.27148035,-0.03046774,0.2054084,-0.15918663,0.17703512,0.08726169,0.2824024,0.1901552,0.18208969
